City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
109,Kuytun,RU,54.3419,101.5036,17.44,82,100,9.06,overcast clouds
110,Benemerito De Las Americas,MX,16.5167,-90.6439,66.33,96,13,1.12,few clouds
111,Kichera,RU,55.9375,110.0997,16.56,95,100,5.3,snow
112,Rieti,IT,42.4072,12.8592,28.72,80,11,2.98,few clouds
113,Carnarvon,AU,-24.8667,113.6333,80.1,64,1,12.44,clear sky
114,Cabo San Lucas,MX,22.8909,-109.9124,67.51,78,79,10.83,broken clouds
115,Geraldton,AU,-28.7667,114.6,95.41,36,4,17.27,clear sky
116,Vao,NC,-22.6667,167.4833,77.02,71,13,12.71,few clouds
117,Tongzi,CN,28.7829,105.0877,57.88,38,0,3.65,clear sky
118,Beringovskiy,RU,63.05,179.3167,29.86,98,100,11.9,snow
119,Georgetown,MY,5.4112,100.3354,87.73,66,20,4.61,few clouds
120,Asau,RO,46.4333,26.4,11.32,92,26,6.06,scattered clouds
121,Mahebourg,MU,-20.4081,57.7,85.24,74,20,2.3,few clouds
122,Saint George,US,37.1041,-113.5841,48.79,48,100,10.36,overcast clouds
123,Saint-Pierre,RE,-21.3393,55.4781,85.68,66,0,6.91,clear sky
124,Kaitangata,NZ,-46.2817,169.8464,62.62,77,100,5.97,overcast clouds
125,Udachnyy,RU,66.4167,112.4,-19.66,97,99,2.3,overcast clouds
126,Cayenne,GF,4.9333,-52.3333,77.04,83,75,6.91,broken clouds
127,Qaqortoq,GL,60.7167,-46.0333,16.95,72,100,9.42,overcast clouds
128,Hovd,MN,48.0056,91.6419,13.64,55,0,1.68,clear sky
129,Leningradskiy,RU,69.3833,178.4167,-5.12,98,85,8.19,overcast clouds
130,Shanghai,CN,31.2222,121.4581,55.26,37,0,4.47,clear sky
131,Horsham,GB,51.064,-0.3272,47.25,87,75,11.5,broken clouds
132,Great Falls,US,47.5002,-111.3008,1.42,64,0,17.27,clear sky
133,Saint-Joseph,RE,-21.3667,55.6167,84.58,75,100,2.64,overcast clouds
134,Port Alfred,ZA,-33.5906,26.891,62.19,90,46,11.9,scattered clouds
135,Boyle,US,37.6334,-84.8666,45.7,100,100,0.0,mist
136,Fort Nelson,CA,58.8053,-122.7002,5.95,97,100,2.26,overcast clouds
137,Payo,ID,-3.7508,103.6372,83.37,67,95,6.2,overcast clouds
138,Fredericksburg,US,38.3032,-77.4605,45.75,84,0,0.0,clear sky
139,Bontang,ID,0.1333,117.5,82.11,81,92,4.83,overcast clouds
140,Mar Del Plata,AR,-38.0023,-57.5575,70.88,78,40,18.01,scattered clouds
141,Mocuba,MZ,-16.8392,36.9856,77.13,91,84,2.77,broken clouds
142,New Norfolk,AU,-42.7826,147.0587,76.91,32,0,1.99,clear sky
143,Rio Grande,BR,-32.035,-52.0986,71.71,87,3,8.61,clear sky
144,Auki,SB,-8.7676,160.7034,78.96,88,100,6.53,overcast clouds
145,Balkanabat,TM,39.5108,54.3671,39.92,57,100,4.18,overcast clouds
146,Taoudenni,ML,22.6783,-3.9836,54.72,17,44,10.49,scattered clouds
147,Lebu,CL,-37.6167,-73.65,61.81,90,80,14.25,broken clouds
148,Talcahuano,CL,-36.7167,-73.1167,62.28,82,0,8.05,clear sky
149,Visnes,NO,59.3556,5.2242,41.05,81,20,20.71,few clouds
150,Dikson,RU,73.5069,80.5464,-29.56,97,65,3.8,broken clouds
151,Qianan,CN,44.9932,124.0581,21.31,37,6,9.01,clear sky
152,Tomatlan,MX,19.9333,-105.25,67.5,81,0,3.2,clear sky
153,Pashiya,RU,58.4324,58.2562,5.31,96,100,6.82,overcast clouds
154,Kieta,PG,-6.2167,155.6333,84.69,71,84,8.43,light rain
155,Vila Franca Do Campo,PT,37.7167,-25.4333,52.21,75,47,7.0,scattered clouds
156,Calabozo,VE,8.9242,-67.4293,75.34,62,9,8.55,clear sky
157,Saldanha,ZA,-33.0117,17.9442,62.62,66,0,7.07,clear sky
158,Port Macquarie,AU,-31.4333,152.9167,75.88,82,100,15.01,light rain
159,Nikolskoye,RU,59.7035,30.7861,33.69,97,100,13.76,snow
160,Zhigansk,RU,66.7697,123.3711,-44.39,98,76,5.06,broken clouds
161,Naze,JP,28.3667,129.4833,56.32,53,28,14.85,scattered clouds
162,Lahij,YE,13.1667,44.5833,69.28,83,95,11.23,light rain
163,Lavrentiya,RU,65.5833,-171.0,23.38,96,100,15.99,snow
164,Troitsko-Pechorsk,RU,62.7084,56.1964,11.43,94,100,7.56,overcast clouds
165,Upernavik,GL,72.7868,-56.1549,0.75,67,93,3.69,overcast clouds
166,Kruisfontein,ZA,-34.0033,24.7314,61.88,65,18,6.04,few clouds
167,Bredasdorp,ZA,-34.5322,20.0403,65.77,64,98,17.43,overcast clouds
168,Nouadhibou,MR,20.931,-17.0347,58.98,77,98,18.41,overcast clouds
169,Torbay,CA,47.6666,-52.7314,25.75,79,90,1.01,overcast clouds
170,Omsukchan,RU,62.5333,155.8,5.85,95,100,10.2,overcast clouds
171,Fairbanks,US,64.8378,-147.7164,28.22,91,100,0.0,light snow
172,Yellowknife,CA,62.456,-114.3525,-22.45,76,0,9.22,clear sky
173,Los Llanos De Aridane,ES,28.6585,-17.9182,53.35,77,0,8.05,clear sky
174,Kataysk,RU,56.289,62.5841,10.02,92,87,8.55,overcast clouds
175,Hede,CN,33.7681,120.2517,51.6,25,0,9.22,clear sky
176,Santa Fe,AR,-31.6333,-60.7,76.01,67,100,5.01,overcast clouds
177,Manzhouli,CN,49.6,117.4333,5.95,92,100,3.42,overcast clouds
178,Siuna,NI,13.7332,-84.7773,65.46,97,100,4.0,overcast clouds
