City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Matagami,CA,2023-01-29 08:27:57,49.7502,-77.6328,-29.09,75,0,3.44
107,Talnakh,RU,2023-01-29 08:27:58,69.4865,88.3972,-6.86,99,94,3.96
108,Troitsko-Pechorsk,RU,2023-01-29 08:27:59,62.7084,56.1964,16.21,89,99,9.19
109,Pisco,PE,2023-01-29 08:28:00,-13.7,-76.2167,71.65,83,0,5.75
110,Severo-Kurilsk,RU,2023-01-29 08:28:01,50.6789,156.125,24.89,63,93,24.74
111,Tasiilaq,GL,2023-01-29 08:28:02,65.6145,-37.6368,21.36,98,100,4.41
112,Peniche,PT,2023-01-29 08:28:03,39.3558,-9.3811,42.12,67,0,10.31
113,Bacolod,PH,2023-01-29 08:23:56,10.6667,122.95,78.62,85,100,16.89
114,Newport,GB,2023-01-29 08:24:17,51.5877,-2.9984,45.81,94,100,8.16
115,Clyde River,CA,2023-01-29 08:28:04,70.4692,-68.5914,-10.97,70,100,5.68
116,Viedma,AR,2023-01-29 08:28:05,-40.8135,-62.9967,74.43,35,0,12.12
117,Iringa,TZ,2023-01-29 08:28:07,-7.7667,35.7,72.88,60,8,3.91
118,Vaitape,PF,2023-01-29 08:28:09,-16.5167,-151.75,81.03,75,14,14.41
119,Grindavik,IS,2023-01-29 08:28:11,63.8424,-22.4338,34.27,93,75,6.91
120,Sitka,US,2023-01-29 08:28:12,57.0531,-135.33,33.69,80,100,0.0
121,Laurel,US,2023-01-29 08:28:00,39.0993,-76.8483,45.75,72,75,1.01
122,Ancud,CL,2023-01-29 08:28:14,-41.8697,-73.8203,56.7,95,7,1.81
123,Yagoua,CM,2023-01-29 08:28:16,10.3411,15.2329,86.79,12,90,6.82
124,Chapais,CA,2023-01-29 08:25:39,49.7834,-74.8492,-27.62,100,99,2.42
125,Dingle,PH,2023-01-29 08:28:18,10.9995,122.6711,76.8,88,100,15.41
126,Dwarka,IN,2023-01-29 08:28:19,22.2394,68.9678,71.42,33,0,14.07
127,Riyadh,SA,2023-01-29 08:25:53,24.6877,46.7219,64.54,39,3,9.69
